K_max	Mean	Median	St.Dev.	Min.	Max.	CI low	CI up
10	0.9650269151138716	0.9714285714285714	0.02402064950059504	0.9130434782608695	1.0	0.9602606971213389	0.9697931331064048
20	0.964879917184265	0.9714285714285714	0.02480566349207122	0.9130434782608695	1.0	0.9599579353848263	0.969801898983704
30	0.9647329192546584	0.9714285714285714	0.025322678432985378	0.9130434782608695	1.0	0.9597083504742252	0.9697574880350919
40	0.9648757763975155	0.9714285714285714	0.025238175527665132	0.9130434782608695	1.0	0.9598679748268013	0.9698835779682302
50	0.9650186335403727	0.9714285714285714	0.02523439314830354	0.9130434782608695	1.0	0.960011582475783	0.9700256846049627
60	0.9651614906832299	0.9714285714285714	0.02522979315310383	0.9130434782608695	1.0	0.9601553523574854	0.9701676290089746
70	0.9651614906832299	0.9714285714285714	0.02522979315310383	0.9130434782608695	1.0	0.9601553523574854	0.9701676290089746
80	0.9651614906832299	0.9714285714285714	0.02522979315310383	0.9130434782608695	1.0	0.9601553523574854	0.9701676290089746
90	0.9651614906832299	0.9714285714285714	0.02522979315310383	0.9130434782608695	1.0	0.9601553523574854	0.9701676290089746
100	0.9651614906832299	0.9714285714285714	0.02522979315310383	0.9130434782608695	1.0	0.9601553523574854	0.9701676290089746
