K_max	Mean	Median	St.Dev.	Min.	Max.	CI low	CI up
10	0.9631573498964804	0.9714285714285714	0.02508329753784766	0.8840579710144928	1.0	0.9581802794790473	0.968134420313914
20	0.9631573498964804	0.9714285714285714	0.02508329753784766	0.8840579710144928	1.0	0.9581802794790473	0.968134420313914
30	0.9631573498964804	0.9714285714285714	0.02508329753784766	0.8840579710144928	1.0	0.9581802794790473	0.968134420313914
40	0.9631573498964804	0.9714285714285714	0.02508329753784766	0.8840579710144928	1.0	0.9581802794790473	0.968134420313914
50	0.9631573498964804	0.9714285714285714	0.02508329753784766	0.8840579710144928	1.0	0.9581802794790473	0.968134420313914
60	0.9631573498964804	0.9714285714285714	0.02508329753784766	0.8840579710144928	1.0	0.9581802794790473	0.968134420313914
70	0.9631573498964804	0.9714285714285714	0.02508329753784766	0.8840579710144928	1.0	0.9581802794790473	0.968134420313914
80	0.9631573498964804	0.9714285714285714	0.02508329753784766	0.8840579710144928	1.0	0.9581802794790473	0.968134420313914
90	0.9631573498964804	0.9714285714285714	0.02508329753784766	0.8840579710144928	1.0	0.9581802794790473	0.968134420313914
100	0.9631573498964804	0.9714285714285714	0.02508329753784766	0.8840579710144928	1.0	0.9581802794790473	0.968134420313914
