Experiment	1	-12.598057719723204	7.223431280276795	79999	0
Experiment	2	-17.758342745894517	2.063146254105483	79993	0
Experiment	3	-15.865426927944798	3.956062072055202	80000	0
Experiment	4	-16.19819952190453	3.6232894780954688	79999	0
Experiment	5	-19.82048853510511	0.0010004648948900297	1450	0
Experiment	6	-15.542299484984094	4.279189515015906	79996	0
Experiment	7	-16.74732039209108	3.07416860790892	79996	0
Experiment	8	-15.10687679335236	4.71461220664764	79996	1
Experiment	9	-15.867159561085714	3.954329438914286	80000	1
Experiment	10	-16.1629185165665	3.6585704834335004	80000	0
Experiment	11	-17.320041165988727	2.501447834011273	79999	0
Experiment	12	-14.683778971947737	5.137710028052263	79999	0
Experiment	13	-17.97128120895202	1.8502077910479784	79992	0
Experiment	14	-18.819524697381205	1.001964302618795	80000	0
Experiment	15	-14.708327581246998	5.113161418753002	79996	1
Experiment	16	-16.890761826493986	2.930727173506014	80000	1
Experiment	17	-19.584516030327627	0.23697296967237236	79998	0
Experiment	18	-16.22036865306555	3.601120346934451	79990	0
Experiment	19	-18.234768310783736	1.5867206892162642	79999	0
Experiment	20	-19.819852719902308	0.0016362800976921221	79998	0
Experiment	21	-18.77250652832819	1.0489824716718097	79999	0
Experiment	22	-18.417360150485916	1.404128849514084	80000	0
Experiment	23	-15.538583122658814	4.282905877341186	80000	0
Experiment	24	-16.610575537090977	3.210913462909023	80000	0
Experiment	25	-15.000647839291597	4.820841160708403	79999	0
Experiment	26	-19.785092141173365	0.03639685882663457	79994	2
Experiment	27	-15.978708609518185	3.842780390481815	79997	0
Experiment	28	-15.324260854523544	4.4972281454764556	79999	0
Experiment	29	-18.823897683460103	0.9975913165398964	79999	0
Experiment	30	-15.578424928534433	4.243064071465566	80000	0
